Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
أين يمكنني العثور على قائمة قطاعات البنية التحتية الحيوية الأساسية؟	قم بزيارة [القوى العاملة الأساسية](/ar/essential-workforce/) للتعرف على العمال والقطاعات المدرجين على القائمة.\n\nMore info: [القوى العاملة الأساسية](https://covid19.ca.gov/ar/essential-workforce/)<!-- non-essential, non-critical -->	https://covid19.ca.gov/ar/essential-workforce/	 	[]	false	[]	1
ماذا أفعل إذا كنت قد تعرضت لأحد المصابين بكوفيد-19؟	ضع في اعتبارك الخضوع للفحص، حتى لو تم تطعيمك. تعرف على حالتك حتى تتمكن من تفادي إصابة الآخرين. ارتدِ قناعًا حال كنت على مقربة من الآخرين حتى لو كنت متأكدًا من أنك لست مصابًا.\n\nإذا ظهرت عليك [الأعراض](https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/Symptoms-Risks.aspx)، فابق في المنزل و[اعزل نفسك](https://www.cdc.gov/coronavirus/2019-ncov/if-you-are-sick/isolation.html) عن الآخرين في منزلك.\n\nMore info: [اختبار](https://covid19.ca.gov/ar/get-tested/)	https://covid19.ca.gov/ar/get-tested/	 	[]	false	[]	2
هل يجب أن تغطي خطتي الصحية تكلفة إجراء اختبار كوفيد-19 في موقع إجراء الفحص؟	نعم. تتطلب [الإرشادات الفيدرالية (PDF)](https://www.dmhc.ca.gov/Portals/0/Docs/DO/APL21-011-NewFederalGuidanceRegardingCOVID-19Testing.pdf) من الخطط الصحية توفير الفحوصات دون أي تكلفة على الجميع. لا تحتاج إلى ظهور الأعراض عليك أو إلى أن تتعرض لأحد المصابين بكوفيد-19. لست بحاجة إلى أن تكون "عاملاً أساسيًا" لتخضع للفحوصات.\n\nلإجراء الفحوصات، يمكنك الذهاب إلى أي مقدم معتمد من مقدمي خدمات إجراء فحوصات كوفيد-19 أو لديه رخصة من الولاية. ولا يلزمك الذهاب إلى مقدم الخدمات الصحية الموجود في خطتك الصحية أو شبكة مقدمي التأمين الصحي. لا تحتاج إلى الحصول على إذن من خطتك الصحية أو شركة التأمين الصحي قبل الذهاب لإجراء اختبار كوفيد-19. ولست بحاجة إلى دفع دفعة مشتركة مقابل اختبار كوفيد-19.\n\nMore info: [اختبار](https://covid19.ca.gov/ar/get-tested/)	https://covid19.ca.gov/ar/get-tested/	 	[]	false	[]	3
ماذا لو لم يكن لدي تأمين صحي وكنت أحتاج إلى إجراء فحوصات فيروس كوفيد-19 أو الرعاية اللازمة له؟	بالنسبة لغير المؤمن عليهم، [تدفع الحكومة](https://www.hrsa.gov/CovidUninsuredClaim) مقابل جميع فحوصات كوفيد-19 والرعاية اللازمة لهم. تحقق من الأعراض التي تعانيها باستخدام [كاشف الأعراض](https://www.cdc.gov/coronavirus/2019-ncov/symptoms-testing/symptoms.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fcoronavirus%2F2019-ncov%2Fsymptoms-testing%2Findex.html) أو عن طريق التحدث مع طبيبك.\n\nMore info: [اختبار](https://covid19.ca.gov/ar/get-tested/)	https://covid19.ca.gov/ar/get-tested/	 	[]	false	[]	4
كم هي المدة التي يستغرقها ظهور نتائج اختبار كوفيد-19؟	عادةً ما تكون المدة الزمنية اللازمة لظهور نتائج اختبار فيروس كوفيد-19 أقل من يومين. يرجع حوالي ثلثا النتائج في غضون يوم واحد ويكون أكثر من 85٪ متوفرًا في غضون يومين.\n\nتشمل هذه المدة الزمنية لرجوع النتيجة وقت الشحن. بالنسبة للمختبرات التي تقوم بإجراء مجموعات الاختبار المنزلية، تعتمد مدة رجوع النتيجة على وقت إعادة إرسالك لمجموعة اختبارك.\n\nإذا مرت عدة أيام ولم تتلق نتائج فحوصاتك، فاتصل بـ:\n\n*   مقدم الرعاية الصحية الخاص بك،\n*   خدمة إجراء الفحوصات، أو \n*   إدارة الصحة العامة المحلية.\n\n[اقرأ المزيد عن فرقة عمل كاليفورنيا المعنية بإجراء فحوصات كوفيد-19](https://testing.covid19.ca.gov/).\n\nMore info: [اختبار](https://covid19.ca.gov/ar/get-tested/)	https://covid19.ca.gov/ar/get-tested/	 	[]	false	[]	5
ما هو المقبول كدليل على نتيجة اختبار كوفيد-19 السلبية؟	المقبول ما يلي:\n\n*   وثيقة مطبوعة من مزود الاختبار أو المختبر الخاص بك\n*   رسالة بريد إلكتروني أو رسالة نصية معروضة على هاتفك من مزود الاختبار أو المختبر\n\nوينبغي أن تشمل النتائج اسم الشخص الذي تم اختباره ونوع الاختبار وتاريخ نتيجة الاختبار السلبية. بالنسبة لفحوصات PCR الفيروسية، يجب أن تكون النتيجة السلبية في مدة لا تتجاوز آخر 3 أيام. بالنسبة لاختبارات المستضد، يجب أن تكون النتيجة السلبية من اليوم الماضي.\n\nمطلوب نافذة نتائج اختبار أقصر في [الفعاليات الكبرى](/ar/mega-events/) (التي يكون بها حضور يفوق عددهم الـ 1000 شخص). هناك يجب أن تظهر سلبية نتائج فحوصات PCR الفيروسية خلال اليومين الماضيين، أو سلبية نتيجة اختبار المستضد خلال اليوم الماضي. والأطفال دون سن 2 معفون من الاختبار.\n\nMore info: [اختبار](https://covid19.ca.gov/ar/get-tested/)	https://covid19.ca.gov/ar/get-tested/	 	[]	false	[]	6
متى يمكنني أن أختلط بأشخاص آخرين بعد ثبوت إصابتي بفيروس كوفيد-19 ولكن لا تظهر عليّ أي أعراض؟	إذا استمر عدم ظهور أي أعراض عليك:\n\n*   فأعد الاختبار بعد 5 أيام. إذا كانت نتيجة اختبارك سلبية، يمكنك أن تخالط الآخرين.\n*   ارتدِ قناعًا عند مخالطتك الآخرين لمدة 5 أيام، حتى في المنزل.\n\nإن لدى مركز مكافحة الأمراض والوقاية منها [توصيات](https://www.cdc.gov/coronavirus/2019-ncov/if-you-are-sick/end-home-isolation.html) للأشخاص المصابين ولكن لا تظهر عليهم أي أعراض.\n\nMore info: [اختبار](https://covid19.ca.gov/ar/get-tested/)	https://covid19.ca.gov/ar/get-tested/	 	[]	false	[]	7
إذا كانت نتيجة فحصي لفيروس كوفيد-19 إيجابية، فماذا أفعل لحماية الآخرين في منزلي؟	يجب أن **تعزل نفسك** (ابق في المنزل ولكن بعيدًا عن الآخرين). تجنب الموجودين بمنزلك الذين كانت نتيجة اختبارهم سلبية:\n\n*   عليك بالنوم والإقامة في غرفة منفصلة عنهم\n*   استخدم حمامًا منفصلاً، إن أمكن. بإمكان العديد من المصابين في الأسرة نفسها استخدام غرفة العزل نفسها.\n\nبإمكان العديد من المصابين في الأسرة نفسها استخدام غرفة العزل نفسها. تعرف على المزيد في [ماذا تفعل إذا كانت نتيجة اختبارك إيجابية](https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/What-to-do-if-You-Test-Positive-for-COVID-19.aspx) الصادرة عن إدارة الصحة العامة بولاية كاليفورنيا.\n\nيجب على أفراد أسرتك أن يفكروا في إجراء الفحوصات وارتداء الأقنعة حتى يتأكدوا من عدم إصابتهم بالعدوى. اعتمادًا على حالة التطعيم الخاصة بهم، قد يحتاجون إلى **الحجر الصحي** (البقاء في المنزل).\n\nوليس عليهم الإقامة في الحجر الصحي أو الخضوع للفحوصات إذا:\n\n*   تم تطعيمهم بالكامل وحصلوا على جرعة معززة ضد كوفيد-19 ولم تظهر عليهم أي أعراض\n*   كانت لديهم إصابة مؤكدة بكوفيد-19 خلال الأيام الـ 90 الماضية.\n\nتعرف على المزيد في [ماذا تفعل إذا كنت قد تعرضت لأحد مصابي كوفيد](https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/What-to-Do-If-You-Are-Exposed-to-COVID-19.aspx) الصادرة عن إدارة الصحة العامة بولاية كاليفورنيا.\n\nMore info: [اختبار](https://covid19.ca.gov/ar/get-tested/)	https://covid19.ca.gov/ar/get-tested/	 	[]	false	[]	8
ما الدعم الذي تقدمه ولاية كاليفورنيا أثناء عزل مصابي كوفيد أو وضعهم في الحجر الصحي؟	إن لم تستطع العمل بسبب إصابتك بكوفيد-19 أو بسبب قربك من أحد المصابين به، يمكنك حينها تقديم [دعوى بطلب حق تأمين خاص بالعجز (DI)](https://edd.ca.gov/Disability/How_to_File_a_DI_Claim_in_SDI_Online.htm/t_blank). \n\nإذا لم تتمكن من العمل لأنك تعتني بأحد أفراد الأسرة المصابين بكوفيد-19، فهناك مساعدة لأجورك المفقودة. قم بتقديم [دعوى للحصول على إجازة الأسرة المدفوعة (PFL)](https://edd.ca.gov/Disability/How_to_File_a_PFL_Claim_in_SDI_Online.htm/t_blank). \n\nفي كلتا الحالتين، يجب أن تكون لديك مذكرة من أحد موظفي الرعاية صحية.\n\nMore info: [اختبار](https://covid19.ca.gov/ar/get-tested/)	https://covid19.ca.gov/ar/get-tested/	 	[]	false	[]	9
كم عدد جرعات لقاح كوفيد-19 اللازمة، وما مقدار المسافة الزمنية التي يجب أن أفصل بها بينهما؟	بطريقة مثالية، ستحصل على:\n\n*   جرعتين من لقاح Pfizer/BioNTech بينهما 21 يومًا، ثم جرعة معززة بعد 5 أشهر\n*   جرعتين من لقاح Moderna بينهما 28 يومًا، ثم جرعة معززة بعد 5 أشهر \n*   جرعة واحدة فقط من لقاح Johnson & Johnson، ثم جرعة معززة بعد شهرين\n\nإذا كانت هناك حاجة إلى جرعتين في البداية، **فاحصل على جرعتك الثانية في أقرب وقت ممكن خلال الفاصل الزمني الموصى به**. إذا لم تتمكن من الحصول على جرعتك الثانية خلال تلك الفترة الزمنية الموصى بها، يمكنك الحصول عليها حتى 6 أسابيع (42 يومًا) من بعد الجرعة الأولى. لدينا بيانات محدودة عن مدى كفاءة هذه اللقاحات خارج هذا الإطار. ولكن إذا تلقيت الجرعة الثانية بعد 42 يومًا، فلا حاجة إلى البدء من جديد.\n\nإن الأطفال الذين تتراوح أعمارهم ما بين 5 و11 عامًا ويحصلون على الجرعة المخفضة من لقاح فايزر يجب أيضًا أن يحصلوا على جرعتين بفارق 21 يومًا.\n\nتتوفر جرعات معززة أو إضافية من هذه اللقاحات لمن يبلغون من العمر 18 عامًا أو أكبر. أولئك الذين تتراوح أعمارهم بين 12 و17 عامًا يمكنهم الحصول على جرعة معززة من لقاح Pfizer. يُنصح بالتطعيم بجرعة معززة من لقاح Pfizer أو Moderna لأولئك الذين حصلوا على لقاح Johnson & Johnson. اقرأ [الجرعات المعززة والجرعات الإضافية](#Booster-shots-and-additional-doses) لمعرفة ما إذا كنت مؤهلاً.\n\nيوصى بجرعة معززة واحدة فقط الآن. يجب ألا تكرر سلسلة اللقاح.\n\nMore info: [المطاعيم](https://covid19.ca.gov/ar/vaccines/)	https://covid19.ca.gov/ar/vaccines/	 	[]	false	[]	10
